id,name_en,name_hans,name_hant,name_jp
669,Normal Gem,一般宝石,一般寶石,ノーマルジュエル
670,Medal Box,奖牌盒,獎牌盒,メダルボックス
671,DNA Splicers,基因之楔,基因之楔,いでんしのくさび
673,Permit,许可证,許可證,きょかしょう
674,Oval Charm,圆形护符,圓形護符,まるいおまもり
675,Shiny Charm,闪耀护符,閃耀護符,ひかるおまもり
676,Plasma Card,等离子卡,等離子卡,プラズマカード
677,Grubby Hanky,脏手帕,髒手帕,よごれたハンカチ
678,Colress Machine,阿克罗玛机器,阿克羅瑪機器,アクロママシーン
679,Dropped Item,遗忘物,遺忘物,わすれもの
681,Reveal Glass,现形镜,現形鏡,うつしかがみ
682,Weakness Policy,弱点保险,弱點保險,じゃくてんほけん
683,Assault Vest,突击背心,突擊背心,とつげきチョッキ
684,Pixie Plate,妖精石板,妖精石板,せいれいプレート
685,Ability Capsule,特性胶囊,特性膠囊,とくせいカプセル
686,Whipped Dream,泡沫奶油,泡沫奶油,ホイップポップ
687,Sachet,香袋,香袋,においぶくろ
688,Luminous Moss,光苔,光苔,ひかりごけ
689,Snowball,雪球,雪球,ゆきだま
690,Safety Goggles,防尘护目镜,防塵護目鏡,ぼうじんゴーグル
691,Rich Mulch,硕果肥,碩果肥,たわわこやし
692,Surprise Mulch,吃惊肥,吃驚肥,びっくりこやし
693,Boost Mulch,劲劲肥,勁勁肥,ぐんぐんこやし
694,Amaze Mulch,超效肥,超效肥,とんでもこやし
695,Gengarite,耿鬼进化石,耿鬼進化石,ゲンガナイト
696,Gardevoirite,沙奈朵进化石,沙奈朵進化石,サーナイトナイト
697,Ampharosite,电龙进化石,電龍進化石,デンリュウナイト
698,Venusaurite,妙蛙花进化石,妙蛙花進化石,フシギバナイト
699,Charizardite X,喷火龙进化石Ｘ,噴火龍進化石Ｘ,リザードナイトＸ
700,Blastoisinite,水箭龟进化石,水箭龜進化石,カメックスナイト
701,Mewtwonite X,超梦进化石Ｘ,超夢進化石Ｘ,ミュウツナイトＸ
702,Mewtwonite Y,超梦进化石Ｙ,超夢進化石Ｙ,ミュウツナイトＹ
703,Blazikenite,火焰鸡进化石,火焰雞進化石,バシャーモナイト
704,Medichamite,恰雷姆进化石,恰雷姆進化石,チャーレムナイト
705,Houndoominite,黑鲁加进化石,黑魯加進化石,ヘルガナイト
706,Aggronite,波士可多拉进化石,波士可多拉進化石,ボスゴドラナイト
707,Banettite,诅咒娃娃进化石,詛咒娃娃進化石,ジュペッタナイト
708,Tyranitarite,班基拉斯进化石,班基拉斯進化石,バンギラスナイト
709,Scizorite,巨钳螳螂进化石,巨鉗螳螂進化石,ハッサムナイト
710,Pinsirite,凯罗斯进化石,凱羅斯進化石,カイロスナイト
711,Aerodactylite,化石翼龙进化石,化石翼龍進化石,プテラナイト
712,Lucarionite,路卡利欧进化石,路卡利歐進化石,ルカリオナイト
713,Abomasite,暴雪王进化石,暴雪王進化石,ユキノオナイト
714,Kangaskhanite,袋兽进化石,袋獸進化石,ガルーラナイト
715,Gyaradosite,暴鲤龙进化石,暴鯉龍進化石,ギャラドスナイト
716,Absolite,阿勃梭鲁进化石,阿勃梭魯進化石,アブソルナイト
717,Charizardite Y,喷火龙进化石Ｙ,噴火龍進化石Ｙ,リザードナイトＹ
718,Alakazite,胡地进化石,胡地進化石,フーディナイト
719,Heracronite,赫拉克罗斯进化石,赫拉克羅斯進化石,ヘラクロスナイト
720,Mawilite,大嘴娃进化石,大嘴娃進化石,クチートナイト
721,Manectite,雷电兽进化石,雷電獸進化石,ライボルトナイト
722,Garchompite,烈咬陆鲨进化石,烈咬陸鯊進化石,ガブリアスナイト
723,Roseli Berry,洛玫果,洛玫果,ロゼルのみ
724,Kee Berry,亚开果,亞開果,アッキのみ
725,Maranga Berry,香罗果,香羅果,タラプのみ
726,Discount Coupon,折价券,折價券,バーゲンチケット
727,Strange Souvenir,神秘摆设,神秘擺設,ふしぎなおきもの
728,Lumiose Galette,密阿雷格雷派饼,密阿雷格雷派餅,ミアレガレット
729,Jaw Fossil,颚之化石,顎之化石,アゴのカセキ
730,Sail Fossil,鳍之化石,鰭之化石,ヒレのカセキ
731,Fairy Gem,妖精宝石,妖精寶石,ようせいジュエル
732,Adventure Guide,探险心得,探險心得,たんけんこころえ
733,Elevator Key,电梯钥匙,電梯鑰匙,エレベータのキー
734,Holo Caster,全息影像通讯器,全像投影通訊器,ホロキャスター
735,Honor of Kalos,卡洛斯勋章,卡洛斯勳章,カロスエンブレム
736,Intriguing Stone,似珍石,似珍石,すごそうないし
737,Lens Case,隐形眼镜盒,隱形眼鏡盒,レンズケース
738,Looker Ticket,帅哥券,帥哥券,ハンサムチケット
739,Mega Ring,超级环,超級環,メガリング
740,Power Plant Pass,发电厂通行证,發電廠通行證,はつでんしょパス
741,Prof’s Letter,博士的信,博士的信,はかせのてがみ
742,Roller Skates,轮滑鞋,溜冰鞋,ローラースケート
743,Sprinklotad,莲叶童子喷壶,蓮葉童子噴壺,ハスボーじょうろ
760,Latiasite,拉帝亚斯进化石,拉帝亞斯進化石,ラティアスナイト
761,Latiosite,拉帝欧斯进化石,拉帝歐斯進化石,ラティオスナイト
762,Common Stone,常见石,常見石,ありふれたいし
763,Makeup Bag,化妆包,化妝包,コスメポーチ
764,Travel Trunk,衣物箱,衣物箱,いしょうトランク
765,Shalour Sable,娑罗沙布蕾,娑羅沙布蕾,シャラサブレ
768,Mega Charm,超级坠饰,超級墜飾,メガチャーム
769,Mega Glove,超级手套,超級手套,メガグローブ
770,Devon Parts,得文的物品,得文的物品,デボンのにもつ
772,Pokéblock Kit,宝可方块套装,寶可方塊組合,ポロックキット
779,Devon Scuba Gear,得文潜水装备,得文潛水裝備,デボンボンベ
780,Contest Costume,演出礼服,演出禮服,ライブスーツ
782,Magma Suit,熔岩装,熔岩裝,マグマスーツ
783,Aqua Suit,海洋装,海洋裝,アクアスーツ
784,Pair of Tickets,双人票,雙人票,ペアチケット
785,Mega Bracelet,超级手镯,超級手鐲,メガバングル
786,Mega Pendant,超级吊坠,超級吊墜,メガペンダント
787,Mega Glasses,超级眼镜,超級眼鏡,メガメガネ
788,Mega Anchor,超级船锚,超級船錨,メガイカリ
789,Mega Stickpin,超级领针,超級領針,メガラペルピン
790,Mega Tiara,超级头冠,超級頭冠,メガティアラ
791,Mega Anklet,超级脚镯,超級腳鐲,メガアンクレット
793,Swampertite,巨沼怪进化石,巨沼怪進化石,ラグラージナイト
794,Sceptilite,蜥蜴王进化石,蜥蜴王進化石,ジュカインナイト
795,Sablenite,勾魂眼进化石,勾魂眼進化石,ヤミラミナイト
796,Altarianite,七夕青鸟进化石,七夕青鳥進化石,チルタリスナイト
797,Galladite,艾路雷朵进化石,艾路雷朵進化石,エルレイドナイト
798,Audinite,差不多娃娃进化石,差不多娃娃進化石,タブンネナイト
799,Metagrossite,巨金怪进化石,巨金怪進化石,メタグロスナイト
800,Sharpedonite,巨牙鲨进化石,巨牙鯊進化石,サメハダナイト
801,Slowbronite,呆壳兽进化石,呆殼獸進化石,ヤドランナイト
802,Steelixite,大钢蛇进化石,大鋼蛇進化石,ハガネールナイト
803,Pidgeotite,大比鸟进化石,大比鳥進化石,ピジョットナイト
804,Glalitite,冰鬼护进化石,冰鬼護進化石,オニゴーリナイト
805,Diancite,蒂安希进化石,蒂安希進化石,ディアンシナイト
806,Prison Bottle,惩戒之壶,懲戒之壺,いましめのツボ
807,Mega Cuff,超级护腕,超級護腕,メガブレス
808,Cameruptite,喷火驼进化石,噴火駝進化石,バクーダナイト
809,Lopunnite,长耳兔进化石,長耳兔進化石,ミミロップナイト
810,Salamencite,暴飞龙进化石,暴飛龍進化石,ボーマンダナイト
811,Beedrillite,大针蜂进化石,大針蜂進化石,スピアナイト
814,Key Stone,钥石,鑰石,キーストーン
815,Meteorite Shard,陨石碎片,隕石碎片,いんせきのかけら
816,Eon Flute,无限之笛,無限之笛,むげんのふえ
817,Normalium Z,一般Ｚ,一般Ｚ,ノーマルＺ
818,Firium Z,火Ｚ,火Ｚ,ホノオＺ
819,Waterium Z,水Ｚ,水Ｚ,ミズＺ
820,Electrium Z,电Ｚ,電Ｚ,デンキＺ
821,Grassium Z,草Ｚ,草Ｚ,クサＺ
822,Icium Z,冰Ｚ,冰Ｚ,コオリＺ
823,Fightinium Z,格斗Ｚ,格鬥Ｚ,カクトウＺ
824,Poisonium Z,毒Ｚ,毒Ｚ,ドクＺ
825,Groundium Z,地面Ｚ,地面Ｚ,ジメンＺ
826,Flyinium Z,飞行Ｚ,飛行Ｚ,ヒコウＺ
827,Psychium Z,超能力Ｚ,超能力Ｚ,エスパーＺ
828,Buginium Z,虫Ｚ,蟲Ｚ,ムシＺ
829,Rockium Z,岩石Ｚ,岩石Ｚ,イワＺ
830,Ghostium Z,幽灵Ｚ,幽靈Ｚ,ゴーストＺ
831,Dragonium Z,龙Ｚ,龍Ｚ,ドラゴンＺ
832,Darkinium Z,恶Ｚ,惡Ｚ,アクＺ
833,Steelium Z,钢Ｚ,鋼Ｚ,ハガネＺ
834,Fairium Z,妖精Ｚ,妖精Ｚ,フェアリーＺ
835,Pikanium Z,皮卡丘Ｚ,皮卡丘Ｚ,ピカチュウＺ
836,Bottle Cap,银色王冠,銀色王冠,ぎんのおうかん
837,Gold Bottle Cap,金色王冠,金色王冠,きんのおうかん
838,Z-Ring,Ｚ手环,Ｚ手環,Ｚリング
839,Decidium Z,狙射树枭Ｚ,狙射樹梟Ｚ,ジュナイパーＺ
840,Incinium Z,炽焰咆哮虎Ｚ,熾焰咆哮虎Ｚ,ガオガエンＺ
841,Primarium Z,西狮海壬Ｚ,西獅海壬Ｚ,アシレーヌＺ
842,Tapunium Z,卡璞Ｚ,卡璞Ｚ,カプＺ
843,Marshadium Z,玛夏多Ｚ,瑪夏多Ｚ,マーシャドーＺ
844,Aloraichium Z,阿罗雷Ｚ,阿羅雷Ｚ,アロライＺ
845,Snorlium Z,卡比兽Ｚ,卡比獸Ｚ,カビゴンＺ
846,Eevium Z,伊布Ｚ,伊布Ｚ,イーブイＺ
847,Mewnium Z,梦幻Ｚ,夢幻Ｚ,ミュウＺ
877,Pikashunium Z,智皮卡Ｚ,智皮卡Ｚ,サトピカＺ
878,Forage Bag,材料袋,材料袋,ざいりょうぶくろ
879,Fishing Rod,钓竿,釣竿,つりざお
880,Professor’s Mask,博士的面罩,博士的面罩,はかせのふくめん
881,Festival Ticket,圆庆票,圓慶票,フェスチケット
882,Sparkling Stone,光辉石,光輝石,かがやくいし
883,Adrenaline Orb,胆怯球,膽怯球,ビビリだま
884,Zygarde Cube,基格尔德多面体,基格爾德多面體,ジガルデキューブ
885,Ice Stone,冰之石,冰之石,こおりのいし
886,Ride Pager,骑行装置,騎行裝置,ライドギア
887,Beast Ball,究极球,究極球,ウルトラボール
888,Big Malasada,大马拉萨达,大馬拉薩達,おおきいマラサダ
889,Red Nectar,朱红色花蜜,朱紅色花蜜,くれないのミツ
890,Yellow Nectar,金黄色花蜜,金黃色花蜜,やまぶきのミツ
891,Pink Nectar,桃粉色花蜜,桃粉色花蜜,うすもものミツ
892,Purple Nectar,兰紫色花蜜,蘭紫色花蜜,むらさきのミツ
893,Sun Flute,太阳之笛,太陽之笛,たいようのふえ
894,Moon Flute,月亮之笛,月亮之笛,つきのふえ
895,Enigmatic Card,奇异卡片,奇異卡片,あやしいカード
896,Terrain Extender,大地膜,大地膜,グランドコート
897,Protective Pads,部位护具,部位護具,ぼうごパット
898,Electric Seed,电气种子,電氣種子,エレキシード
899,Psychic Seed,精神种子,精神種子,サイコシード
900,Misty Seed,薄雾种子,薄霧種子,ミストシード
901,Grassy Seed,青草种子,青草種子,グラスシード
902,Fighting Memory,战斗存储碟,戰鬥記憶碟,ファイトメモリ
903,Flying Memory,飞翔存储碟,飛翔記憶碟,フライングメモリ
904,Poison Memory,毒存储碟,毒記憶碟,ポイズンメモリ
905,Ground Memory,大地存储碟,大地記憶碟,グラウンドメモリ
906,Rock Memory,岩石存储碟,岩石記憶碟,ロックメモリ
907,Bug Memory,虫子存储碟,蟲子記憶碟,バグメモリ
908,Ghost Memory,幽灵存储碟,幽靈記憶碟,ゴーストメモリ
909,Steel Memory,钢铁存储碟,鋼鐵記憶碟,スチールメモリ
910,Fire Memory,火焰存储碟,火焰記憶碟,ファイヤーメモリ
911,Water Memory,清水存储碟,清水記憶碟,ウオーターメモリ
912,Grass Memory,青草存储碟,青草記憶碟,グラスメモリ
913,Electric Memory,电子存储碟,電子記憶碟,エレクトロメモリ
914,Psychic Memory,精神存储碟,精神記憶碟,サイキックメモリ
915,Ice Memory,冰雪存储碟,冰雪記憶碟,アイスメモリ
916,Dragon Memory,龙存储碟,龍記憶碟,ドラゴンメモリ
917,Dark Memory,黑暗存储碟,黑暗記憶碟,ダークメモリ
918,Fairy Memory,妖精存储碟,妖精記憶碟,フェアリーメモリ
919,Bike,自行车,自行車,じてんしゃ
920,Storage Key,仓库钥匙,倉庫鑰匙,そうこのカギ
921,Basement Key,地下钥匙,地下鑰匙,ちかのかぎ
922,Xtransceiver,即时通讯器,即時通訊器,ライブキャスター
923,Xtransceiver,即时通讯器,即時通訊器,ライブキャスター
924,DNA Splicers,基因之楔,基因之楔,いでんしのくさび
925,DNA Splicers,基因之楔,基因之楔,いでんしのくさび
926,Dropped Item,遗忘物,遺忘物,わすれもの
927,Dropped Item,遗忘物,遺忘物,わすれもの
928,Holo Caster,全息影像通讯器,全像投影通訊器,ホロキャスター
929,Bike,自行车,自行車,じてんしゃ
930,Holo Caster,全息影像通讯器,全像投影通訊器,ホロキャスター
931,Basement Key,地下钥匙,地下鑰匙,ちかのカギ
932,Storage Key,仓库钥匙,倉庫鑰匙,そうこのカギ
933,S.S. Ticket,船票,船票,ふねのチケット
934,Contest Costume,演出礼裙,演出禮裙,ライブドレス
935,Meteorite,陨石,隕石,いんせき
936,Meteorite,陨石,隕石,いんせき
937,Meteorite,陨石,隕石,いんせき
938,Normalium Z,一般Ｚ,一般Ｚ,ノーマルＺ
939,Firium Z,火Ｚ,火Ｚ,ホノオＺ
940,Waterium Z,水Ｚ,水Ｚ,ミズＺ
941,Electrium Z,电Ｚ,電Ｚ,デンキＺ
942,Grassium Z,草Ｚ,草Ｚ,クサＺ
943,Icium Z,冰Ｚ,冰Ｚ,コオリＺ
944,Fightinium Z,格斗Ｚ,格鬥Ｚ,カクトウＺ
945,Poisonium Z,毒Ｚ,毒Ｚ,ドクＺ
946,Groundium Z,地面Ｚ,地面Ｚ,ジメンＺ
947,Flyinium Z,飞行Ｚ,飛行Ｚ,ヒコウＺ
948,Psychium Z,超能力Ｚ,超能力Ｚ,エスパーＺ
949,Buginium Z,虫Ｚ,蟲Ｚ,ムシＺ
950,Rockium Z,岩石Ｚ,岩石Ｚ,イワＺ
951,Ghostium Z,幽灵Ｚ,幽靈Ｚ,ゴーストＺ
952,Dragonium Z,龙Ｚ,龍Ｚ,ドラゴンＺ
953,Darkinium Z,恶Ｚ,惡Ｚ,アクＺ
954,Steelium Z,钢Ｚ,鋼Ｚ,ハガネＺ
955,Fairium Z,妖精Ｚ,妖精Ｚ,フェアリーＺ
956,Pikanium Z,皮卡丘Ｚ,皮卡丘Ｚ,ピカチュウＺ
957,Decidium Z,狙射树枭Ｚ,狙射樹梟Ｚ,ジュナイパーＺ
958,Incinium Z,炽焰咆哮虎Ｚ,熾焰咆哮虎Ｚ,ガオガエンＺ
959,Primarium Z,西狮海壬Ｚ,西獅海壬Ｚ,アシレーヌＺ
960,Tapunium Z,卡璞Ｚ,卡璞Ｚ,カプＺ
961,Marshadium Z,玛夏多Ｚ,瑪夏多Ｚ,マーシャドーＺ
962,Aloraichium Z,阿罗雷Ｚ,阿羅雷Ｚ,アロライＺ
963,Snorlium Z,卡比兽Ｚ,卡比獸Ｚ,カビゴンＺ
964,Eevium Z,伊布Ｚ,伊布Ｚ,イーブイＺ
965,Mewnium Z,梦幻Ｚ,夢幻Ｚ,ミュウＺ
966,Pikashunium Z,智皮卡Ｚ,智皮卡Ｚ,サトピカＺ
967,Solganium Z,索尔迦雷欧Ｚ,索爾迦雷歐Ｚ,ソルガレオＺ
968,Lunalium Z,露奈雅拉Ｚ,露奈雅拉Ｚ,ルナアーラＺ
969,Ultranecrozium Z,究极奈克洛Ｚ,究極奈克洛Ｚ,ウルトラネクロＺ
970,Mimikium Z,谜拟ＱＺ,謎擬ＱＺ,ミミッキュＺ
971,Lycanium Z,鬃岩狼人Ｚ,鬃岩狼人Ｚ,ルガルガンＺ
972,Kommonium Z,杖尾鳞甲龙Ｚ,杖尾鱗甲龍Ｚ,ジャラランガＺ
973,Solganium Z,索尔迦雷欧Ｚ,索爾迦雷歐Ｚ,ソルガレオＺ
974,Lunalium Z,露奈雅拉Ｚ,露奈雅拉Ｚ,ルナアーラＺ
975,Ultranecrozium Z,究极奈克洛Ｚ,究極奈克洛Ｚ,ウルトラネクロＺ
976,Mimikium Z,谜拟ＱＺ,謎擬ＱＺ,ミミッキュＺ
977,Lycanium Z,鬃岩狼人Ｚ,鬃岩狼人Ｚ,ルガルガンＺ
978,Kommonium Z,杖尾鳞甲龙Ｚ,杖尾鱗甲龍Ｚ,ジャラランガＺ
979,Z-Power Ring,Ｚ强力手环,Ｚ強力手環,Ｚパワーリング
980,Pink Petal,粉红花瓣,粉紅花瓣,ももいろはなびら
981,Orange Petal,橙色花瓣,橙色花瓣,だいだいはなびら
982,Blue Petal,蓝色花瓣,藍色花瓣,あおのはなびら
983,Red Petal,红色花瓣,紅色花瓣,あかのはなびら
984,Green Petal,绿色花瓣,綠色花瓣,みどりのはなびら
985,Yellow Petal,黄色花瓣,黃色花瓣,きいろのはなびら
986,Purple Petal,紫色花瓣,紫色花瓣,むらさきはなびら
987,Rainbow Flower,虹色之花,虹色之花,にじいろのはな
988,Surge Badge,桔色徽章,橘色徽章,だいだいバッジ
989,N-Solarizer,奈克洛索尔合体器,奈克洛索爾合體器,ネクロプラスソル
990,N-Lunarizer,奈克洛露奈合体器,奈克洛露奈合體器,ネクロプラスルナ
991,N-Solarizer,奈克洛索尔合体器,奈克洛索爾合體器,ネクロプラスソル
992,N-Lunarizer,奈克洛露奈合体器,奈克洛露奈合體器,ネクロプラスルナ
993,Ilima Normalium Z,伊利马一般Ｚ,伊利馬一般Ｚ,イリマノーマルＺ
994,Left Poké Ball,留下的精灵球,留下的精靈球,のこされたボール
995,Roto Hatch,孵蛋碰碰,孵蛋碰碰,タマゴふかポン
996,Roto Bargain,优惠碰碰,優惠碰碰,やすうりポン
997,Roto Prize Money,零花钱碰碰,零用錢碰碰,おこづかいポン
998,Roto Exp. Points,经验碰碰,經驗碰碰,けいけんポン
999,Roto Friendship,亲密碰碰,親密碰碰,なつきポン
1000,Roto Encounter,相遇碰碰,相遇碰碰,みっけポン
1001,Roto Stealth,隐身碰碰,隱身碰碰,かくれポン
1002,Roto HP Restore,ＨＰ回复碰碰,ＨＰ回復碰碰,ＨＰかいふくポン
1003,Roto PP Restore,ＰＰ回复碰碰,ＰＰ回復碰碰,ＰＰかいふくポン
1004,Roto Boost,加油碰碰,加油碰碰,おうえんポン
1005,Roto Catch,捕捉碰碰,捕捉碰碰,つかまえポン
1006,Autograph,马志士的签名,馬志士的簽名,マチスのサイン
1007,Pokémon Box Link,宝可梦盒,寶可夢盒,ポケモンボックス
1008,Medicine Pocket,回复口袋,回復口袋,かいふくポケット
1009,Candy Jar,糖果罐,糖果罐,アメボトル
1010,Power-Up Pocket,强化口袋,強化口袋,きょうかポケット
1011,Clothing Trunk,换装箱,換裝箱,おきがえトランク
1012,Catching Pocket,捕捉口袋,捕捉口袋,ほかくポケット
1013,Battle Pocket,对战口袋,對戰口袋,バトルポケット
1014,Silver Razz Berry,银色蔓莓果,銀色蔓莓果,ぎんのズリのみ
1015,Golden Razz Berry,金色蔓莓果,金色蔓莓果,きんのズリのみ
1016,Silver Nanab Berry,银色蕉香果,銀色蕉香果,ぎんのナナのみ
1017,Golden Nanab Berry,金色蕉香果,金色蕉香果,きんのナナのみ
1018,Silver Pinap Berry,银色凰梨果,銀色凰梨果,ぎんのパイルのみ
1019,Golden Pinap Berry,金色凰梨果,金色凰梨果,きんのパイルのみ
1020,Secret Key,秘密钥匙,秘密鑰匙,ひみつのカギ
1021,S.S. Ticket,船票,船票,ふねのチケット
1022,Parcel,包裹,包裹,おとどけもの
1023,Card Key,钥匙卡,鑰匙卡,カードキー
1024,Stretchy Spring,松掉的弹簧,鬆掉的彈簧,のびたバネ
1025,Chalky Stone,粉笔石,粉筆石,チョークいし
1026,Marble,弹珠,彈珠,ビーだま
1027,Lone Earring,一边的耳环,一邊的耳環,かたっぽピアス
1028,Beach Glass,海边的玻璃,海邊的玻璃,うみべのガラス
1029,Gold Leaf,金色叶子,金色葉子,きんのはっぱ
1030,Silver Leaf,银色叶子,銀色葉子,ぎんのはっぱ
1031,Polished Mud Ball,光滑泥球,光滑泥球,ピカピカだんご
1032,Tropical Shell,南国贝壳,南國貝殼,なんごくかいがら
1033,Leaf Letter,树叶信,樹葉信,このはのおてがみ
1034,Leaf Letter,树叶信,樹葉信,このはのおてがみ
1035,Small Bouquet,小小花束,小小花束,ちいさなはなたば
1036,Lure,引虫香水,引蟲香水,むしよせコロン
1037,Super Lure,白银香水,白銀香水,シルバーコロン
1038,Max Lure,黄金香水,黃金香水,ゴールドコロン
1039,Pewter Crunchies,深灰米果,深灰米果,ニビあられ
1040,Health Candy,元气糖果,元氣糖果,げんきのアメ
1041,Mighty Candy,力量糖果,力量糖果,ちからのアメ
1042,Tough Candy,守护糖果,守護糖果,まもりのアメ
1043,Smart Candy,知识糖果,知識糖果,ちしきのアメ
1044,Courage Candy,心灵糖果,心靈糖果,こころのアメ
1045,Quick Candy,敏捷糖果,敏捷糖果,はやさのアメ
1046,Health Candy L,元气糖果Ｌ,元氣糖果Ｌ,げんきのアメＬ
1047,Mighty Candy L,力量糖果Ｌ,力量糖果Ｌ,ちからのアメＬ
1048,Tough Candy L,守护糖果Ｌ,守護糖果Ｌ,まもりのアメＬ
1049,Smart Candy L,知识糖果Ｌ,知識糖果Ｌ,ちしきのアメＬ
1050,Courage Candy L,心灵糖果Ｌ,心靈糖果Ｌ,こころのアメＬ
1051,Quick Candy L,敏捷糖果Ｌ,敏捷糖果Ｌ,はやさのアメＬ
1052,Health Candy XL,元气糖果ＸＬ,元氣糖果ＸＬ,げんきのアメＸＬ
1053,Mighty Candy XL,力量糖果ＸＬ,力量糖果ＸＬ,ちからのアメＸＬ
1054,Tough Candy XL,守护糖果ＸＬ,守護糖果ＸＬ,まもりのアメＸＬ
1055,Smart Candy XL,知识糖果ＸＬ,知識糖果ＸＬ,ちしきのアメＸＬ
1056,Courage Candy XL,心灵糖果ＸＬ,心靈糖果ＸＬ,こころのアメＸＬ
1057,Quick Candy XL,敏捷糖果ＸＬ,敏捷糖果ＸＬ,はやさのアメＸＬ
1058,Bulbasaur Candy,妙蛙种子的糖果,妙蛙種子的糖果,フシギダネのアメ
1059,Charmander Candy,小火龙的糖果,小火龍的糖果,ヒトカゲのアメ
1060,Squirtle Candy,杰尼龟的糖果,傑尼龜的糖果,ゼニガメのアメ
1061,Caterpie Candy,绿毛虫的糖果,綠毛蟲的糖果,キャタピーのアメ
1062,Weedle Candy,独角虫的糖果,獨角蟲的糖果,ビードルのアメ
1063,Pidgey Candy,波波的糖果,波波的糖果,ポッポのアメ
1064,Rattata Candy,小拉达的糖果,小拉達的糖果,コラッタのアメ
1065,Spearow Candy,烈雀的糖果,烈雀的糖果,オニスズメのアメ
1066,Ekans Candy,阿柏蛇的糖果,阿柏蛇的糖果,アーボのアメ
1067,Pikachu Candy,皮卡丘的糖果,皮卡丘的糖果,ピカチュウのアメ
1068,Sandshrew Candy,穿山鼠的糖果,穿山鼠的糖果,サンドのアメ
1069,Nidoran♀ Candy,尼多兰的糖果,尼多蘭的糖果,ニドラン♀のアメ
1070,Nidoran♂ Candy,尼多朗的糖果,尼多朗的糖果,ニドラン♂のアメ
1071,Clefairy Candy,皮皮的糖果,皮皮的糖果,ピッピのアメ
1072,Vulpix Candy,六尾的糖果,六尾的糖果,ロコンのアメ
1073,Jigglypuff Candy,胖丁的糖果,胖丁的糖果,プリンのアメ
1074,Zubat Candy,超音蝠的糖果,超音蝠的糖果,ズバットのアメ
1075,Oddish Candy,走路草的糖果,走路草的糖果,ナゾノクサのアメ
1076,Paras Candy,派拉斯的糖果,派拉斯的糖果,パラスのアメ
1077,Venonat Candy,毛球的糖果,毛球的糖果,コンパンのアメ
1078,Diglett Candy,地鼠的糖果,地鼠的糖果,ディグダのアメ
1079,Meowth Candy,喵喵的糖果,喵喵的糖果,ニャースのアメ
1080,Psyduck Candy,可达鸭的糖果,可達鴨的糖果,コダックのアメ
1081,Mankey Candy,猴怪的糖果,猴怪的糖果,マンキーのアメ
1082,Growlithe Candy,卡蒂狗的糖果,卡蒂狗的糖果,ガーディのアメ
1083,Poliwag Candy,蚊香蝌蚪的糖果,蚊香蝌蚪的糖果,ニョロモのアメ
1084,Abra Candy,凯西的糖果,凱西的糖果,ケーシィのアメ
1085,Machop Candy,腕力的糖果,腕力的糖果,ワンリキーのアメ
1086,Bellsprout Candy,喇叭芽的糖果,喇叭芽的糖果,マダツボミのアメ
1087,Tentacool Candy,玛瑙水母的糖果,瑪瑙水母的糖果,メノクラゲのアメ
1088,Geodude Candy,小拳石的糖果,小拳石的糖果,イシツブテのアメ
1089,Ponyta Candy,小火马的糖果,小火馬的糖果,ポニータのアメ
1090,Slowpoke Candy,呆呆兽的糖果,呆呆獸的糖果,ヤドンのアメ
1091,Magnemite Candy,小磁怪的糖果,小磁怪的糖果,コイルのアメ
1092,Farfetch’d Candy,大葱鸭的糖果,大蔥鴨的糖果,カモネギのアメ
1093,Doduo Candy,嘟嘟的糖果,嘟嘟的糖果,ドードーのアメ
1094,Seel Candy,小海狮的糖果,小海獅的糖果,パウワウのアメ
1095,Grimer Candy,臭泥的糖果,臭泥的糖果,ベトベターのアメ
1096,Shellder Candy,大舌贝的糖果,大舌貝的糖果,シェルダーのアメ
1097,Gastly Candy,鬼斯的糖果,鬼斯的糖果,ゴースのアメ
1098,Onix Candy,大岩蛇的糖果,大岩蛇的糖果,イワークのアメ
1099,Drowzee Candy,催眠貘的糖果,催眠貘的糖果,スリープのアメ
1100,Krabby Candy,大钳蟹的糖果,大鉗蟹的糖果,クラブのアメ
1101,Voltorb Candy,霹雳电球的糖果,霹靂電球的糖果,ビリリダマのアメ
1102,Exeggcute Candy,蛋蛋的糖果,蛋蛋的糖果,タマタマのアメ
1103,Cubone Candy,卡拉卡拉的糖果,卡拉卡拉的糖果,カラカラのアメ
1104,Hitmonlee Candy,飞腿郎的糖果,飛腿郎的糖果,サワムラーのアメ
1105,Hitmonchan Candy,快拳郎的糖果,快拳郎的糖果,エビワラーのアメ
1106,Lickitung Candy,大舌头的糖果,大舌頭的糖果,ベロリンガのアメ
1107,Koffing Candy,瓦斯弹的糖果,瓦斯彈的糖果,ドガースのアメ
1108,Rhyhorn Candy,独角犀牛的糖果,獨角犀牛的糖果,サイホーンのアメ
1109,Chansey Candy,吉利蛋的糖果,吉利蛋的糖果,ラッキーのアメ
1110,Tangela Candy,蔓藤怪的糖果,蔓藤怪的糖果,モンジャラのアメ
1111,Kangaskhan Candy,袋兽的糖果,袋獸的糖果,ガルーラのアメ
1112,Horsea Candy,墨海马的糖果,墨海馬的糖果,タッツーのアメ
1113,Goldeen Candy,角金鱼的糖果,角金魚的糖果,トサキントのアメ
1114,Staryu Candy,海星星的糖果,海星星的糖果,ヒトデマンのアメ
1115,Mr. Mime Candy,魔墙人偶的糖果,魔牆人偶的糖果,バリヤードのアメ
